LOCATION_ID,OPERATOR,LON,LAT
8854749163,,-99.2347222,30.0733348
935579303,,-98.4854772,29.4241293
1998961096,,-77.0169286,38.7844537
3397745944,,-104.98716,39.7340909
6979741728,SunTrust Bank ATM,-76.7901776,38.9002699
10720062180,Capital One,-91.0177855,30.397562
2641724484,U.S. Bank,-105.080239,40.5824721
3804820001,,-77.0958408,38.8862723
7297515281,,-97.7465472,30.4076275
3857330985,,-77.3115693,38.6480556
6217418201,Hancock Whitney,-89.2507684,31.3473176
3325374469,,-105.0339389,39.7623849
4486015356,,-105.1006375,39.6122725
4401928816,Citibank,-105.024839,39.7695764
6821795606,USAA,-97.6609701,31.0709639
8229460345,,-97.7197233,30.3899877
919338930,,-97.7671271,30.2493483
6741288471,Wells Fargo,-98.5040618,29.3569431
4774957721,Cardtronics ATM,-105.0366879,39.776242
5286386863,,-90.0621173,29.9438407
10759467356,,-104.8824535,39.5652686
4365568431,,-77.2991955,38.6280168
10543436587,Bank of America,-77.0062476,38.8980033
9064728149,Black Frog,-77.2213727,38.9131919
1500969034,Bank of the West,-105.112856,39.6690395
6717535490,,-98.4894718,29.5210481
993923095,,-104.6741984,39.853991
2319095288,,-104.87253,39.4158056
10750730591,Wells Fargo,-104.7726745,39.6191513
8537949077,,-97.8054808,30.4789518
3611827003,Navy Federal Credit Union,-104.773044,39.6959322
7729180514,Citibank,-77.1449367,38.7477202
1213346729,U.S. Bank,-105.271052,40.0069659
9887880546,Schertz Bank & Trust,-98.1072249,29.7246795
5676848348,,-104.9890147,39.7433855
1905607294,,-77.2268813,38.8668945
5590193853,,-77.2560983,38.9091736
9749341571,Canvas Credit Union,-104.7694902,39.5415069
4192697125,Wells Fargo,-105.05893,40.5520791
1388048770,,-105.4950454,39.8037943
3847084026,,-77.3333229,38.6468274
6260109988,,-104.7090046,39.6056329
4112326356,,-105.2187379,39.7551854
4485970439,Public Service Credit Union,-105.1090462,39.6084735
6215424315,,-104.9865384,39.7253449
9749341569,Canvas Credit Union,-104.7697397,39.5414207
1058126488,PenFed Credit Union,-77.1335775,38.768189
10844912435,Bitstop Bitcoin ATM,-105.034036,39.9294834
9938001666,Wells Fargo,-77.062261,38.7748006
4085394889,Bank of America,-77.0374658,38.9023243
6300058393,CardTronics,-104.806503,39.6750175
9351409067,Chase,-104.9413833,39.7027161
1546787304,Public Service Credit Union,-105.1094468,39.6089288
4082206289,Wells Fargo,-77.0961351,38.8858553
6190898754,,-77.1915753,38.8949822
4113401591,Bank of America,-77.0375404,38.9295796
1235384927,Wells Fargo,-97.7249893,30.3928038
1213346718,Credit Union of Colorado,-105.2710692,40.0069659
1111758260,,-97.9393251,29.8855033
2152146042,ATFCU,-97.4165069,30.5992296
2526182495,Wells Fargo,-104.882593,39.7399445
3397744997,,-104.9871587,39.7339867
9644672285,Wells Fargo,-77.2623161,38.8717321
3008727685,PNC Bank,-77.0321579,38.9098466
9750095007,USAA,-98.6395658,29.3814796
1227587530,Bank of America,-97.7269143,30.4008159
6074691251,Central Sunbelt Federal Gredit Union,-89.2979942,31.3624263
4331246181,,-105.0970917,39.8787931
3228743064,Cottonport Bank,-91.4647882,30.6868062
4813038169,,-77.1550739,38.8740659
10200408967,Brenham National Bank,-96.3995695,30.1671596
5922902246,Wells Fargo,-104.782794,39.5587123
2703585186,Elevations Credit Union,-105.2528486,39.9990606
4085394690,M&T Bank,-77.0381943,38.9022808
5286386874,,-90.0622614,29.9457459
10832963688,,-97.4093926,30.5705414
3582273705,,-104.7900902,39.6751766
9518251311,U.S. Bank,-105.0657354,39.9151853
9898257108,Bank of America,-98.1341598,29.6826211
3383177500,,-104.9816604,39.7433866
4496338940,University Federal Credit Union,-97.7341871,30.2833844
5180714987,Chase,-105.261334,40.0141884
5824827247,Chase,-104.81729,39.9727278
8313483186,,-97.6717226,30.4380697
7947936374,,-90.9787659,30.3201557
696266916,,-105.0764983,40.5321351
9749341570,Canvas Credit Union,-104.7696145,39.5414649
2793819812,Capital One,-77.0424542,38.8539769
8144984437,Wells Fargo,-105.101766,40.1911831
1853817546,Wells Fargo,-105.078715,40.5825378
4934734821,,-89.3483761,31.32801
8732051630,Richton Bank & Trust Company,-88.9350306,31.3565491
4806942373,U.S. Bank,-105.117413,39.7184403
1718845054,,-105.1286496,39.9877757
10750730590,Wells Fargo,-104.7722382,39.6190086
4191939515,,-77.3403847,38.6476786
5472060384,BBVA,-104.866416,39.6873804
6821808742,USAA,-97.7083003,31.0870879
5181887466,Bank of America,-105.270975,40.0069661
2122899370,,-106.04746,39.4806588
6299750881,CardTronics,-104.791434,39.6731796
4069779152,M&T,-77.0522959,38.9243896
10609337099,PenFed Credit Union,-98.0735084,29.7316048
8493514486,,-97.682058,30.4818951
9416924551,PNC Bank,-77.1167144,38.8823007
4486015343,,-105.0989866,39.6100202
10610830951,M&T Bank,-77.2347584,38.8744172
2802843907,,-98.6420887,29.4395567
8061248620,Pulse,-97.6929212,30.6645694
8294992784,,-97.6899386,30.5591628
1999204225,,-105.0023605,39.7449236
7465312960,BB&T,-77.175162,38.8675027
1503603607,Chase,-105.108961,39.5981326
1899518325,First Bank,-104.810156,39.8849674
3852014144,,-97.6978779,30.3620247
9831455669,,-104.7909247,39.5358718
5765856092,First Bank,-104.765754,39.5176955
5679529444,,-104.9906615,39.7431873
3245054372,Wells Fargo,-97.7458302,30.2649727
5544105844,,-77.2713288,38.8777732
9395511384,Wells Fargo,-97.8330962,30.4794434
6068901840,,-105.0156564,39.5368258
497415804,PNC Bank,-77.05413,38.930466
878152397,,-104.9806997,39.6932724
668901104,,-97.8048581,30.2030224
7415847402,,-104.9787169,39.7786622
7601548876,KeyBank,-104.940589,39.9127651
2752943224,Academy Bank,-104.878473,39.6518552
3992834567,,-77.1099209,38.8713756
3037395020,,-77.0607022,38.8033541
1506447904,Regions,-90.0675962,29.9487738
3784078129,,-77.2877282,38.6516636
2784793712,First Bank,-104.865041,39.6744168
2786796057,KeyBank,-104.914983,39.6674008
919390899,Wells Fargo,-97.7537881,30.2392743
1751678831,,-76.7744627,38.9091287
1346030760,Chase,-105.277948,40.0165421
3037395026,,-77.0577223,38.8063054
8530065404,University Federal Credit Union,-97.7977935,30.4667072
8534873247,Wells Fargo,-97.8011755,30.4797295
1751654429,,-76.7729111,38.9074078
3930105569,,-105.0371988,39.7620191
1528888109,Chase,-97.7569077,30.336925
2702170051,U.S. Bank,-105.25782,40.0170232
8397911123,,-97.7026974,30.4200889
9200147147,,-90.1740483,29.9587843
8511321005,Chase,-104.68871,39.5867741
9750499320,USAA,-98.6311541,29.4025151
4413883902,,-77.0423169,38.8043999
10838079941,,-97.4156502,30.3513321
10307395731,Coin Cloud Bitcoin ATM,-105.024423,39.8670391
4089003796,Wells Fargo,-77.0317031,38.8992638
1985131034,,-104.9018165,39.5962102
4988750712,PNC Bank,-77.0271837,38.8913091
4486015369,,-105.0954286,39.6092257
3037395022,,-77.0615927,38.8022567
4879027984,,-97.7386138,30.2612134
5415456523,,-89.3792686,31.318981
2793819862,Capital One,-77.0414327,38.854196
3020738437,,-104.991585,39.7566251
3005928170,,-104.8478355,39.7792819
4166568289,Wells Fargo,-77.0405472,38.9038962
2701841432,Chase,-105.254129,39.9997033
1553237390,First Bank,-105.081053,39.7068088
5113066055,,-104.9780779,39.7820821
5077968629,,-105.2543099,40.0370179
10609398344,Navy Federal Credit Union,-97.6712643,30.4797316
2317166309,,-104.6096454,39.3601494
7729907778,Capital One,-91.1416066,30.4194814
10832963680,City National Bank,-97.4109534,30.5698462
2419012525,,-77.0789687,38.8734438
9506602612,,-90.0736499,29.9518557
2980533886,Collegiate Peaks Bank,-104.8379853,39.7483959
6148628402,Chase Bank,-98.0062194,30.320236
6634470587,Capital One,-90.1572691,30.0047412
7152733959,Bank of America,-77.2317354,38.9251218
10759467357,,-104.8824788,39.5654018
4030803491,,-77.0418255,38.920519
6350261067,Chase Bank,-97.7805649,30.4397307
2792739633,,-77.0324832,38.9053089
655825680,Chase,-104.99216,39.6536495
3506539564,Chase,-97.7539169,30.2376569
8288285346,,-97.6909065,30.5547886
8291909345,,-97.6878976,30.5586365
5181887465,,-105.2709968,40.0069661
8020552510,,-104.9396908,39.7017634
2352597269,Bank of America,-97.7538646,30.3534637
6363974414,,-97.7263685,30.2374386
5077968644,,-105.2527412,40.03677
10313544804,,-97.8390574,30.2214328
3506566671,Bank of America,-97.7542736,30.2374344
5173630539,Randolph Brooks Federal Credit Union,-98.0959603,29.6962494
713474201,Capital One,-77.0653978,38.9052387
8192486056,,-97.8462287,30.2352232
6392119895,Canvas Credit Union,-104.6693387,39.8586824
3901895224,Chase,-105.025753,39.7599001
5349683215,,-77.219541,38.7038053
3874012015,FNBO,-105.079577,40.5837752
4258006190,Truist,-77.0018871,38.8874496
176420477,,-105.114011,39.984331
7465312955,USAA,-77.1730892,38.8694179
7080960711,Citizens National Bank,-89.3960551,31.3186098
1254086055,BBVA Compass,-97.7209612,30.3923496
3297584342,Wells Fargo,-105.088246,39.9228006
8500723396,,-97.6864125,30.5079506
10602785230,Wells Fargo,-105.0777847,40.5831379
2763330117,Wells Fargo,-104.865258,39.6923457
9217440122,Citibank,-77.302527,38.6585946
5522616162,Bank of America,-97.7377297,30.2829073
3630721496,,-105.1157836,39.7410979
7137564939,U.S. Bank,-104.86741,39.6726293
6553704851,Wells Fargo,-106.376559,39.6419721
6810280523,,-97.7224495,31.0800338
10702378496,UFCU,-97.8241236,30.2338907
2123012586,Bank of America,-76.9787265,38.8051098
940997404,,-98.4943388,29.4342373
5347962737,First Citizens Bank,-104.888434,39.6234247
6758614160,Citywide Banks,-104.9123589,39.6525095
1543821526,KeyBank,-105.109216,39.6226379
6992631238,Black Frog,-77.2555552,38.8100377
8777723354,,-97.6903354,30.5301757
5173630540,Randolph Brooks Federal Credit Union,-98.0959337,29.6962327
5638234774,First Bank,-104.940662,39.8841045
10815486727,Frost Bank,-97.8244523,30.2949022
